n,Category,Item,Catalog lb  m_i,Packet ceil  p_i,Assembly k,Could-go class,Depends on (n),Enables,Notes,Running lb,Running packets
1,Habitat,Unpressurized deck tile,1,1,4,Core,—,Floor / wall grid,1-lb base plate,1,1
2,Habitat,Pressure panel,8,8,4,Core,1,Livable volume,Needs seals + frame,9,9
3,Habitat,Airlock collar,18,18,1,Enabling,2,EVA / transfer,,27,27
4,Habitat,Window / viewport brick,6,6,1,Optional,2,Sightline,,33,33
5,Power,Solar brick,1,1,8,Core,—,Trickle charge,Dust-tolerant face,34,34
6,Power,Battery brick,2,2,8,Core,5,Night ops,,36,36
7,Power,Power bus node,3,3,2,Enabling,"5,6",Distribution,,39,39
8,Power,Small RTG / nuke brick (concept),25,25,1,Optional,7,Base load,Catalog only — not a build plan,64,64
9,Mobility,Wheel / drive packet,4,4,4,Enabling,10,Motion,,68,68
10,Mobility,Small rover chassis,25,25,1,Enabling,"9,11",Local haul,,93,93
11,Mobility,Compute / nav brick,3,3,1,Enabling,—,Drive + pose,,96,96
12,Mobility,Manipulator arm segment,7,7,3,Optional,10,Pick / place,,103,103
13,Life support,Water recycler brick,12,12,1,Core,"6,7",Crew days,,115,115
14,Life support,O2 / CO2 cartridge,2,2,6,Core,13,Breathing loop,,117,117
15,Life support,Tank / bladder,5,5,2,Enabling,13,Store water,,122,122
16,Life support,Thermal garment pack,4,4,2,Optional,—,EVA / night,,126,126
17,Comms,Surface relay,15,15,1,Core,"6,7",Link home / site,,141,141
18,Comms,Local mesh node,1,1,8,Enabling,17,Packet radio grid,1-lb radio,142,142
19,Comms,Nav beacon,2,2,4,Enabling,18,Site fix,,144,144
20,Manufacture,ISRU feedstock bag,1,1,20,Enabling,—,Print / sinter,Regolith or resin,145,145
21,Manufacture,Print head brick,9,9,1,Optional,"6,20",Make parts,,154,154
22,Manufacture,Sinter / kiln brick,14,14,1,Optional,"6,20",Brick / tile from dirt,,168,168
23,Science,Weather / dust station,3,3,1,Enabling,"6,18",Site data,,171,171
24,Science,Seismic pin,1,1,4,Optional,18,Ground motion,,172,172
25,Science,Sample cache tube,1,1,12,Optional,12,Return / store,,173,173
26,Safety,Repair tool kit,6,6,1,Core,—,Keep other items alive,,179,179
27,Safety,Patch / seal kit,2,2,4,Core,2,Pressure repair,,181,181
28,Safety,Fire / dust suppress pack,5,5,2,Enabling,—,Site safety,,186,186
29,Safety,Med / trauma brick,8,8,1,Optional,—,Crew care,,194,194
30,Habitat,Sleep / berth frame,16,16,1,Optional,"1,2",Crew rest,,210,210
31,Habitat,Galley brick,11,11,1,Optional,"6,15",Food prep,,221,221
32,Power,Cable spool 50 m,4,4,2,Enabling,7,Run power,,225,225
33,Mobility,Trailer / pallet,10,10,2,Optional,10,Haul packets,,235,235
34,Manufacture,Fastener / interface pack,1,1,10,Core,—,Join any two items,Standard 1-lb join kit,236,236
35,Comms,High-gain dish segment,12,12,1,Optional,17,Earth link margin,,248,248
36,Science,Camera / mast brick,4,4,1,Optional,11,Survey,,252,252
37,Life support,Plant / grow tray,6,6,2,Optional,"5,15",Fresh mass,,258,258
38,Habitat,Radiation cover tile,3,3,8,Enabling,1,Dose cut,,261,261
39,Safety,Beacon / find-me,1,1,4,Enabling,18,Lost-crew / lost-packet,,262,262
40,Manufacture,Spare interface plate,1,1,16,Core,34,Grow the grid,,263,263
41,Power,Dust-wiper module,2,2,2,Optional,5,Keep solar alive,,265,265
42,Mobility,Leg / walk packet (bot),8,8,4,Optional,11,Legged scout,Fits Tesla-Bot-class thinking,273,273
43,Science,G-force / IMU brick,1,1,2,Optional,11,Motion log,Nanocraft-adjacent,274,274
44,Habitat,Vestibule tunnel ring,20,20,1,Optional,3,Connect volumes,,294,294
45,Life support,Waste lock brick,9,9,1,Enabling,13,Close the loop,,303,303
46,Comms,Store-and-forward brick,2,2,2,Optional,18,Delay-tolerant net,,305,305
47,Safety,Anchor / guy kit,3,3,4,Enabling,1,Wind / storm hold-down,,308,308
48,Manufacture,Cutting / drill brick,7,7,1,Optional,6,Modify site / parts,,315,315
49,Power,Dump load / heater brick,3,3,2,Optional,7,Use surplus / keep warm,,318,318
50,Habitat,Work surface / bench,8,8,1,Optional,"1,34",Assemble other n,,326,326
